GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37013930200,Census Tract 9302; Beaufort County; North Carolina,47334,37867.2,56800.8
1400000US37013930300,Census Tract 9303; Beaufort County; North Carolina,36210,28968,43452
1400000US37013930400,Census Tract 9304; Beaufort County; North Carolina,43302,34641.6,51962.4
1400000US37013930501,Census Tract 9305.01; Beaufort County; North Carolina,47428,37942.4,56913.6
1400000US37013930502,Census Tract 9305.02; Beaufort County; North Carolina,60246,48196.8,72295.2
1400000US37013930600,Census Tract 9306; Beaufort County; North Carolina,89250,71400,107100
1400000US37013930700,Census Tract 9307; Beaufort County; North Carolina,73861,59088.8,88633.2
1400000US37013930800,Census Tract 9308; Beaufort County; North Carolina,45500,36400,54600
1400000US37013930900,Census Tract 9309; Beaufort County; North Carolina,76087,60869.6,91304.4
1400000US37013931001,Census Tract 9310.01; Beaufort County; North Carolina,56042,44833.6,67250.4
1400000US37013931002,Census Tract 9310.02; Beaufort County; North Carolina,60781,48624.8,72937.2
1400000US37015960100,Census Tract 9601; Bertie County; North Carolina,39453,31562.4,47343.6
1400000US37015960200,Census Tract 9602; Bertie County; North Carolina,48242,38593.6,57890.4
1400000US37015960300,Census Tract 9603; Bertie County; North Carolina,37348,29878.4,44817.6
1400000US37015960401,Census Tract 9604.01; Bertie County; North Carolina,54773,43818.4,65727.6
1400000US37015960402,Census Tract 9604.02; Bertie County; North Carolina,33375,26700,40050
1400000US37017950101,Census Tract 9501.01; Bladen County; North Carolina,46084,36867.2,55300.8
1400000US37017950102,Census Tract 9501.02; Bladen County; North Carolina,49760,39808,59712
1400000US37017950200,Census Tract 9502; Bladen County; North Carolina,44779,35823.2,53734.8
1400000US37017950301,Census Tract 9503.01; Bladen County; North Carolina,41932,33545.6,50318.4
1400000US37017950302,Census Tract 9503.02; Bladen County; North Carolina,46250,37000,55500
1400000US37017950401,Census Tract 9504.01; Bladen County; North Carolina,24283,19426.4,29139.6
1400000US37017950402,Census Tract 9504.02; Bladen County; North Carolina,48750,39000,58500
