GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,Median Household Income ,80% AMI ,120% AMI ,TimeFrame,GeoVintage,Source,Location
Census Tract,37007920200,NC,37007920200,37007920200,"53,269.00","42,615.20","63,922.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920301,NC,37007920301,37007920301,"48,876.00","39,100.80","58,651.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920302,NC,37007920302,37007920302,N/A,#VALUE!,#VALUE!,2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920400,NC,37007920400,37007920400,"29,946.00","23,956.80","35,935.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920501,NC,37007920501,37007920501,"34,476.00","27,580.80","41,371.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920502,NC,37007920502,37007920502,"44,085.00","35,268.00","52,902.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007920600,NC,37007920600,37007920600,"47,670.00","38,136.00","57,204.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37007980000,NC,37007980000,37007980000,N/A,#VALUE!,#VALUE!,2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970200,NC,37009970200,37009970200,"45,755.00","36,604.00","54,906.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970300,NC,37009970300,37009970300,"52,870.00","42,296.00","63,444.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970400,NC,37009970400,37009970400,"54,097.00","43,277.60","64,916.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970501,NC,37009970501,37009970501,"46,549.00","37,239.20","55,858.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970502,NC,37009970502,37009970502,"45,404.00","36,323.20","54,484.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970701,NC,37009970701,37009970701,"60,707.00","48,565.60","72,848.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970702,NC,37009970702,37009970702,"48,726.00","38,980.80","58,471.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970801,NC,37009970801,37009970801,"36,442.00","29,153.60","43,730.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37009970802,NC,37009970802,37009970802,"44,000.00","35,200.00","52,800.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37011930100,NC,37011930100,37011930100,"49,741.00","39,792.80","59,689.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37011930200,NC,37011930200,37011930200,"57,907.00","46,325.60","69,488.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37011930301,NC,37011930301,37011930301,"43,170.00","34,536.00","51,804.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37011930302,NC,37011930302,37011930302,"49,792.00","39,833.60","59,750.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37011930400,NC,37011930400,37011930400,"57,329.00","45,863.20","68,794.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930101,NC,37013930101,37013930101,"72,168.00","57,734.40","86,601.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930102,NC,37013930102,37013930102,"34,861.00","27,888.80","41,833.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930200,NC,37013930200,37013930200,"47,334.00","37,867.20","56,800.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930300,NC,37013930300,37013930300,"36,210.00","28,968.00","43,452.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930400,NC,37013930400,37013930400,"43,302.00","34,641.60","51,962.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930501,NC,37013930501,37013930501,"47,428.00","37,942.40","56,913.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930502,NC,37013930502,37013930502,"60,246.00","48,196.80","72,295.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930600,NC,37013930600,37013930600,"89,250.00","71,400.00","107,100.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930700,NC,37013930700,37013930700,"73,861.00","59,088.80","88,633.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930800,NC,37013930800,37013930800,"45,500.00","36,400.00","54,600.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013930900,NC,37013930900,37013930900,"76,087.00","60,869.60","91,304.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013931001,NC,37013931001,37013931001,"56,042.00","44,833.60","67,250.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37013931002,NC,37013931002,37013931002,"60,781.00","48,624.80","72,937.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37015960100,NC,37015960100,37015960100,"39,453.00","31,562.40","47,343.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37015960200,NC,37015960200,37015960200,"48,242.00","38,593.60","57,890.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37015960300,NC,37015960300,37015960300,"37,348.00","29,878.40","44,817.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37015960401,NC,37015960401,37015960401,"54,773.00","43,818.40","65,727.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37015960402,NC,37015960402,37015960402,"33,375.00","26,700.00","40,050.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950101,NC,37017950101,37017950101,"46,084.00","36,867.20","55,300.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950102,NC,37017950102,37017950102,"49,760.00","39,808.00","59,712.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950200,NC,37017950200,37017950200,"44,779.00","35,823.20","53,734.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950301,NC,37017950301,37017950301,"41,932.00","33,545.60","50,318.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950302,NC,37017950302,37017950302,"46,250.00","37,000.00","55,500.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950401,NC,37017950401,37017950401,"24,283.00","19,426.40","29,139.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950402,NC,37017950402,37017950402,"48,750.00","39,000.00","58,500.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950501,NC,37017950501,37017950501,"59,000.00","47,200.00","70,800.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950502,NC,37017950502,37017950502,"46,932.00","37,545.60","56,318.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950601,NC,37017950601,37017950601,"33,333.00","26,666.40","39,999.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37017950602,NC,37017950602,37017950602,"32,543.00","26,034.40","39,051.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020101,NC,37019020101,37019020101,"40,928.00","32,742.40","49,113.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020102,NC,37019020102,37019020102,"74,375.00","59,500.00","89,250.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020105,NC,37019020105,37019020105,"87,188.00","69,750.40","104,625.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020106,NC,37019020106,37019020106,"58,893.00","47,114.40","70,671.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020107,NC,37019020107,37019020107,"67,641.00","54,112.80","81,169.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020108,NC,37019020108,37019020108,"59,524.00","47,619.20","71,428.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020201,NC,37019020201,37019020201,"69,309.00","55,447.20","83,170.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020203,NC,37019020203,37019020203,"82,083.00","65,666.40","98,499.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020204,NC,37019020204,37019020204,"57,908.00","46,326.40","69,489.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020205,NC,37019020205,37019020205,"91,214.00","72,971.20","109,456.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020206,NC,37019020206,37019020206,"63,125.00","50,500.00","75,750.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020304,NC,37019020304,37019020304,"102,061.00","81,648.80","122,473.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020305,NC,37019020305,37019020305,"66,016.00","52,812.80","79,219.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020306,NC,37019020306,37019020306,"71,163.00","56,930.40","85,395.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020307,NC,37019020307,37019020307,"158,750.00","127,000.00","190,500.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020308,NC,37019020308,37019020308,"94,792.00","75,833.60","113,750.40",2018-2022,2022,Census,North Carolina (State)
